fire_id,sev_img_present,state,agency,unit_id,fire_name,inc_num,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,area_ha,FID,ypmc_pixel_count,alarm_year,alarm_month,alarm_day,cont_year,cont_month,cont_day,alarm_date,cont_date,burn_duration,fire_area_m2,fire_area_m2_exclude_unchanged,prop_ypmc,prefire_ndvi,nbhd_sd_ndvi_1,prefire_fm100,prefire_vpd,prefire_erc,earlyfire_vs,earlyfire_hdw,elevation,prop_unchanged,prop_low,prop_mod,prop_high,max_patch_m2_unchanged,max_patch_m2_low,max_patch_m2_mod,max_patch_m2_high,sdc,june2008fire,survived_ia,comparison_cat,dowy,simultaneous_fires
0000d055578aa1bc5fd8,1,CA,NPS,KNP,SUGARLOAF,00000000,1,NA,3500,2847.859375,8,wfu,00000042,1152.48775841639,0,10405,1985,7,28,1985,11,18,1985-07-28,1985-11-18,113,11874600,5058e3,0.6462028194633924,0.45711822672488023,0.046091438204330155,7.9968530267626114,1.1996603049038577,74.49683971963039,2.815469042684195,2.822424297750547,2361.1310444141277,0.5740488100651812,0.3040018190086403,0.11770501743216613,0.00424435349401243,4771800,207e3,144900,15300,0.041994970866509274,no,NA,wfu,301,5
00004fdac0c478c9a4ac,1,CA,NPS,YNP,LOST BEAR,00000067,1,NA,1017.74782894381,1017.75189208984,4,wfu,00000067,411.869580010767,0,2785,1985,7,28,1985,11,10,1985-07-28,1985-11-10,105,4335300,2325600,0.48017438239568194,0.554797693570422,0.04907271115390442,7.593587649370937,1.4526897452049343,77.1065472980394,3.8560386884996993,3.7996382638085104,2233.518787627154,0.46356653518787627,0.3479343990035292,0.18061033838488685,0.007888727423707702,386100,123300,122400,7200,0.05002992023541598,no,NA,wfu,301,5
00000a14997a0ac52646,1,CA,NPS,YNP,NEW DRUB,00000072,1,NA,105.475489359366,105.475914001465,8,wfu,00000072,42.6845869752251,0,353,1985,7,29,1985,11,10,1985-07-29,1985-11-10,104,477900,108900,0.5894538606403014,0.4995608588228118,0.049739028877892624,8.201116477477798,1.5066417642007888,56.09235441707173,2.4390055899790672,2.4636138581062217,2347.8662900188324,0.7721280602636534,0.21657250470809794,0.011299435028248588,0,361800,21600,3600,0,NA,no,NA,wfu,302,7
000096324dd6b0bb2622,1,CA,NPS,YNP,GONZO,00000073,1,NA,62.2867901703373,62.2870407104492,8,wfu,00000073,25.2066705661571,0,259,1985,7,29,1985,11,10,1985-07-29,1985-11-10,104,284400,95400,0.7373417721518988,0.43636157623008837,0.05897721635543188,8.188844620426998,1.495420856566369,56.12289585644686,2.4311628779278527,2.4378149373621882,2430.5822784810125,0.6645569620253164,0.29430379746835444,0.04113924050632911,0,164700,19800,1800,0,NA,no,NA,wfu,302,7
0000c139364c32384892,1,CA,NPS,YNP,GLACIER,00000069,1,NA,48.2216969033047,48.2218894958496,8,wfu,00000069,19.5147060792829,0,5,1985,7,30,1985,11,10,1985-07-30,1985-11-10,103,226800,154800,0.031746031746031744,0.49180829619604444,0.052166854848139106,8.35935115814209,1.1356732845306396,71.4703369140625,2.114288091659546,2.1580562591552734,2496.1666666666665,0.31746031746031744,0.35714285714285715,0.3134920634920635,0.011904761904761904,33300,45900,59400,900,0.07550687320971466,no,NA,wfu,303,8
0000a4fb7c97a4c854df,1,CA,USF,STF,BRICEBURG,NA,9,20090305,1019,982.37060546875,6,suppression,00000102,397.551291459214,0,21,1985,8,2,1985,8,8,1985-08-02,1985-08-08,6,4116600,198e4,0.003279405334499344,0.37649342813213477,0.0382678845977133,9.977785502660208,1.3201383422387445,67.67248198055105,1.7851579791080707,3.8960849680022793,725.4680804547442,0.5190205509400962,0.17839965019676432,0.21928290336685613,0.08329689549628334,1395900,44100,295200,314100,0.013627608378200026,no,1,survived_ia,306,9
00008d5de721e09c31cb,1,CA,NPS,YNP,QUITIN TIME,00000074,1,NA,11.9306976115007,11.9307441711426,8,wfu,00000074,4.8282010174893,0,30,1985,8,3,1985,11,10,1985-08-03,1985-11-10,99,62100,1800,0.42028985507246375,0.4465499079745749,0.07196530499967976,7.975230693817138,0.7353155016899109,75.89817810058594,2.658433675765991,2.9606831073760986,2691.623188405797,0.9710144927536232,0.028985507246376812,0,0,60300,900,0,0,NA,no,NA,wfu,307,11
00008be53bb047fd2330,1,CA,NPS,YNP,VINEYARD,00000075,1,NA,69.4705468273444,69.4708251953125,8,wfu,00000075,28.1138450086395,0,198,1985,8,3,1985,11,10,1985-08-03,1985-11-10,99,342900,96300,0.5144356955380578,0.4790151138005294,0.060618366325015,8.409127235412598,0.7944430708885193,72.45646667480469,1.8478823900222778,2.239295721054077,2397.44094488189,0.7191601049868767,0.1784776902887139,0.10236220472440945,0,194400,9900,21600,0,NA,no,NA,wfu,307,11
000065cec43f1627d1d3,1,CA,NPS,YNP,MORRISON,00000085,1,NA,44.5198551183285,44.5200347900391,8,wfu,00000085,18.0166183123445,0,152,1985,8,6,1985,11,10,1985-08-06,1985-11-10,96,207900,117e3,0.6363636363636364,0.5304263161245363,0.04341605644334447,7.358535180360208,1.5376038618418046,75.65522250881443,2.7187406387163966,4.325305069679822,2367.575757575758,0.43722943722943725,0.5238095238095238,0.03896103896103896,0,51300,73800,1800,0,NA,no,NA,wfu,310,14
0000d7e05958106f6a84,1,CA,NPS,YNP,KIWI,00000077,1,NA,39.5849400320504,39.5851020812988,8,wfu,00000077,16.019521964864,0,8,1985,8,6,1985,11,10,1985-08-06,1985-11-10,96,189e3,115200,0.06190476190476191,0.5527760197718938,0.04315296301529521,7.339881896972656,1.5462206602096558,75.834442138671875,2.710127353668213,4.33897066116333,2500.7952380952383,0.3904761904761905,0.5238095238095238,0.08571428571428572,0,29700,85500,4500,0,NA,no,NA,wfu,310,14
000056cf0d018264dd3c,1,CA,NPS,YNP,NA,00000078,1,NA,113.126081126879,113.126533508301,8,wfu,00000078,45.7806838344403,0,376,1985,8,6,1985,11,10,1985-08-06,1985-11-10,96,520200,257400,0.5709342560553633,0.5289454151164082,0.05111059538736475,7.351151943206787,1.157103180885315,74.14545440673828,2.8159399032592773,3.3948605060577393,2632.3564013840833,0.5051903114186851,0.3096885813148789,0.15051903114186851,0.03460207612456748,84600,20700,50400,17100,0.02984119412060466,no,NA,wfu,310,14
00001a824b6476c1130d,1,CA,NPS,YNP,BUCK,00000080,1,NA,348.062915759467,348.064300537109,4,wfu,00000080,140.856630701515,0,1507,1985,8,9,1985,11,10,1985-08-09,1985-11-10,93,1233900,980100,0.7687819110138585,0.49136602574243415,0.06308472964757772,6.924299394536592,1.1393563189183074,78.94952920124881,3.8268013226559874,4.328084998544684,2356.5331874544127,0.20568927789934355,0.199854121079504,0.3727206418672502,0.22173595915390226,63e3,28800,92700,183600,0.02428473436228601,no,NA,wfu,313,14
00009853db32c2358eb2,1,CA,USF,STF,SUMMIT,NA,2,20090305,145,175.564407348633,6,suppression,00000112,71.048395343076,0,759,1985,8,10,1985,8,12,1985-08-10,1985-08-12,2,781200,489600,0.7534562211981567,0.7086551573968702,0.03272303839832166,8.643450736999512,1.8689420223236084,66.91149139404297,2.796503782272339,5.2126145362854,942.7730414746543,0.37327188940092165,0.18202764976958524,0.33410138248847926,0.11059907834101383,240300,21600,167400,51300,0.02750946168720341,no,1,survived_ia,314,16
0000a97d993e8bd963f6,1,CA,USF,ENF,NA,00000000,9,NA,207,224.233444213867,8,suppression,00000066,90.7440578961632,0,1096,1985,8,10,1985,8,12,1985-08-10,1985-08-12,2,996300,580500,0.8626919602529358,0.5839875228467457,0.05007586289069329,7.2328582770563825,1.5530680241408172,74.86134895248895,2.5844472658558804,4.127272337971233,1898.755194218609,0.4173441734417344,0.07678410117434507,0.15537488708220415,0.35049683830171635,215100,9900,62100,283500,0.008807774852322299,no,1,survived_ia,314,16
0000fcd736d55c46954b,1,CA,USF,TNF,COBURN,00000000,3,NA,32,35.0004386901855,NA,suppression,00000117,14.1641757046471,0,170,1985,8,26,1985,8,28,1985-08-26,1985-08-28,2,174600,152100,0.8247422680412371,0.5239537590250526,0.0533222723128178,7.7875321820839165,1.9034755918168529,70.49923234133375,4.776525394203737,6.414812328889198,2126.319587628866,0.12886597938144329,0.19072164948453607,0.4587628865979381,0.22164948453608246,6300,6300,52200,38700,0.021713686190091775,no,1,survived_ia,330,15
0000e1f86708c76fbc59,1,CA,USF,STF,RIVER,NA,7,20090305,316,332.035247802734,6,suppression,00000125,134.369897119052,0,365,1985,8,31,1985,9,2,1985-08-31,1985-09-02,2,1436400,1067400,0.19924812030075187,0.6481945897291478,0.045831436703896576,6.85037368461303,2.390923494085632,76.48610219262298,3.117300917779593,2.404002104486738,920.2619047619048,0.2568922305764411,0.29887218045112784,0.32205513784461154,0.12218045112781954,148500,119700,246600,133200,0.020152433328370967,no,1,survived_ia,335,15
0000fe83ac4471efc7fe,1,CA,NPS,KNP,ACQUISTIT,00000000,1,NA,80,140.349395751953,8,suppression,00000080,56.7973848219762,0,394,1985,10,15,1985,10,19,1985-10-15,1985-10-19,4,620100,146700,0.48911465892597966,0.6818485481472596,0.045782957799159564,11.167201273327121,0.7204677511887903,48.39940727466422,1.668596619964511,1.7510919216236287,1520.2394775036284,0.7634252539912917,0.13933236574746008,0.09724238026124818,0,468e3,48600,26100,0,NA,no,1,survived_ia,15,14
000081cf9c09916ad786,1,CA,USF,TNF,SLATE,00000000,1,NA,NA,2040.23803710938,NA,suppression,00000013,825.655018257949,0,9064,1986,6,11,1986,6,12,1986-06-11,1986-06-12,1,8455500,512100,0.7559340074507717,0.5967520062722951,0.04735830982243954,7.676177734640953,1.4623018836010764,66.5189870139016,2.696784659660262,4.087841097581507,1829.479191059074,0.9394358701436935,0.04683342203299627,0.013517828632251197,2.1287919105907396e-4,7934400,36900,25200,900,0.0690204408204386,no,0,died_ia,254,1
0000ebbaa674ac6cd1f1,1,CA,NPS,YNP,GLACIER POINT,00000016,4,NA,685.812570848407,685.815307617188,4,suppression,00000016,277.539609924193,0,1615,1986,6,27,1986,7,1,1986-06-27,1986-07-01,4,2903400,2052900,0.41661500309981403,0.48926744781208203,0.05613518964559283,6.907742565785294,1.4917599074011327,73.64888850458645,2.2703278317483995,2.744824156876462,2106.074705517669,0.2929324240545567,0.08803471791692498,0.19838809671419716,0.42064476131432116,513e3,15300,153900,1126800,0.007764990745327473,no,1,survived_ia,270,1
