fire_id,sev_cat,n_patches,max_patch_area_m2,sev_cat_area_m2,sev_cat_prop,sev_cat_prop_exclude_unchanged,ypmc_direct_pixel_count,prefire_ndvi,nbhd_sd_ndvi_1,prefire_fm100,prefire_vpd,prefire_erc,earlyfire_vs,earlyfire_hdw,elevation
0000fd6a0a748a88156f,0,246,325800,1063800,0.05416552103381908,NA,649,0.5903211469224665,0.043305774538442116,7.950379052137966,2.130943267982825,78.70387093790896,2.2617706058392466,5.813085566519077,1542.113367174281
0000fd6a0a748a88156f,1,466,245700,2600100,0.13238933186692328,0.13997093023255813,2131,0.6379079251305461,0.035464860675240746,8.041988625333317,2.058366455227993,78.15229645250743,2.2672613827404,5.641812246619066,1548.6947040498442
0000fd6a0a748a88156f,2,234,6614100,9664200,0.49207222069471174,0.5202519379844961,6653,0.6361092248566215,0.04078998385811831,7.94350139671563,2.140664463881164,78.94756682266801,2.2638183161630203,5.841806041481642,1441.4530638852673
0000fd6a0a748a88156f,3,237,2542500,6311700,0.32137292640454584,0.3397771317829457,3567,0.6664539156737926,0.03990093540246485,7.884347145421077,2.1789709688949803,79.19295826880241,2.2600477747751953,5.926188832357405,1368.8676743191215
0000491f3184f6782007,0,418,201600,1899900,0.033373911118840215,NA,678,0.3892128089736672,0.07605519067197826,6.538846796127023,2.680824991539721,84.30027982060348,2.8485701217407415,5.04740586138517,1362.6229275225012
0000491f3184f6782007,1,1333,106200,4019400,0.07060534678197082,0.07304308004317818,2617,0.5752931773709279,0.06787595893804817,6.645804500665251,2.5982450895975697,83.74601560593506,2.8401538404818347,4.888242405356712,1398.8423645320197
0000491f3184f6782007,2,747,11934900,24672600,0.43340236826711775,0.44836609859016713,18669,0.6538776797692598,0.05249447326114446,6.5911491752984075,2.6366153507652905,84.09783805746423,2.8319166925601036,4.973858376913697,1395.7282045670095
0000491f3184f6782007,3,641,13813200,26335800,0.4626183738320712,0.47859082136665465,21444,0.6957460323183268,0.04284460678872063,6.483732226395035,2.7131126011300335,84.72902212455165,2.826760296664832,5.163343832535359,1418.4260132595175
0000eb72755045c4ddb4,0,20,17100,82800,0.2548476454293629,NA,65,0.32893210341748985,0.06174925143789986,6.7454833984375,2.1223552227020264,75.38810729980469,2.0428640842437744,3.171921491622925,1946.3695652173913
0000eb72755045c4ddb4,1,27,16200,81e3,0.24930747922437674,0.3345724907063197,69,0.4207010711232821,0.059932293742895125,6.7454833984375,2.1223552227020264,75.38810729980469,2.0428640842437744,3.171921491622925,1939.7
0000eb72755045c4ddb4,2,12,73800,111600,0.34349030470914127,0.46096654275092935,111,0.5199481878549822,0.05739285155469852,6.7454833984375,2.1223552227020264,75.38810729980469,2.0428640842437744,3.171921491622925,1944.516129032258
0000eb72755045c4ddb4,3,2,48600,49500,0.1523545706371191,0.20446096654275092,46,0.5595023545351896,0.05684960962019183,6.7454833984375,2.1223552227020264,75.38810729980469,2.0428640842437744,3.171921491622925,1947.4363636363637
000012b273ca93d15d5d,0,3,29700,41400,0.71875,NA,42,0.6527630265640176,0.04831552712003822,13.93627054794975,0.992249916429105,49.291217969811484,1.6742280255193296,0.3033432506996652,2298.8478260869565
000012b273ca93d15d5d,1,5,4500,14400,0.25,0.8888888888888888,14,0.695031363517046,0.03555806307122111,13.898368835449219,0.9759619645774364,49.47297406196594,1.6918238997459412,0.2935976330190897,2288.9375
