fire_id,sev_cat,n_patches,max_patch_area_m2,sev_cat_area_m2,sev_cat_prop,sev_cat_prop_exclude_unchanged,ypmc_direct_pixel_count,prefire_ndvi,nbhd_sd_ndvi_1,prefire_fm100,prefire_vpd,prefire_erc,earlyfire_vs,earlyfire_hdw,elevation,sev_img_present,state,agency,unit_id,fire_name,inc_num,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,area_ha,FID,ypmc_pixel_count,alarm_year,alarm_month,alarm_day,cont_year,cont_month,cont_day,burn_duration,sdc
00001a34932b130abb93,3,1,156600,156600,0.498567335243553,0.6258992805755396,140,0.7174948858118605,0.026497026605681442,8.013406161604257,2.0838900105706575,76.58265593956257,1.8481896149701085,5.391292876210706,1369.9597701149426,1,CA,CDF,SNF,PETERSON,00008548,14,NA,67.64,67.6338958740234,8,suppression,00008548,27.3704658816989,0,316,2004,7,12,NA,NA,NA,NA,0.008875474565751343
0000d3dc09e8b0dd58ab,3,6,12600,30600,0.19318181818181818,0.2595419847328244,2,0.6585948958116419,0.06147120180813705,5.736042485517614,3.2127184797735775,84.60901596966912,3.0389664663988003,7.543028845506556,498.61764705882354,1,CA,CDF,NEU,BUTCHER,00013000,14,NA,25,31.9052886962891,7,suppression,00000524,12.9116120846816,0,5,2004,7,28,2004,7,28,0,0.03815065886632959
0000a1cebbd93ef60caf,3,3,43200,87300,0.2199546485260771,0.35018050541516244,44,0.5943337669692088,0.03778421214407252,7.360917233929191,1.8281671533879547,78.7503784808916,2.2610686611883417,5.780963553595789,756.9587628865979,1,CA,CDF,TCU,ARMSTRONG #1,00006428,7,NA,87,86.9001312255859,2,suppression,00000657,35.1672349416639,0,104,2004,8,6,2004,8,7,1,0.019269119521513653
000046b08901e47d79e5,3,41,486e3,1293300,0.34402681350251374,0.4035383319292334,55,0.6089107511602679,0.04008208676361237,7.372373590887464,1.8185561425003975,78.58750458400782,2.2434801736803793,5.712573633811171,952.3709116214335,1,CA,CDF,TCU,ARMSTRONG #2,00006431,7,NA,879,879.173461914062,2,suppression,00000659,355.788873673264,0,285,2004,8,6,2004,8,14,8,0.01670214282062215
0000a597b82549acb8e7,3,41,546300,1241100,0.3131244323342416,0.3469182389937107,506,0.719638074066779,0.04621393040148102,7.350832031808788,1.9876547087094678,81.20960020932536,2.545711986909663,8.53068337499274,678.274111675127,1,CA,CDF,NEU,STEVENS,00013741,15,NA,934,934.399780273438,2,suppression,00000574,378.138166737625,0,1641,2004,8,8,2004,8,12,4,0.011199131386916635
000094b72f4ab46d53eb,3,65,989100,2019600,0.281097331830139,0.3177120203879371,155,0.6773253923245505,0.03892066697224829,6.377156639481611,2.546785136276388,86.57942646115009,2.2300553149718016,7.8051726210351084,1093.0868983957218,1,CA,USF,STF,EARLY,NA,9,20090305,1750,1724.75793457031,2,suppression,00000049,697.9847957049,0,1107,2004,8,9,2004,10,26,78,0.014273688401244832
00003a1b4cc9f0287bcb,3,4,394200,403200,0.2733374008541794,0.3419847328244275,177,0.44205849305061357,0.058274679542851766,5.656684398651123,1.5830470323562622,86.9224624633789,1.8729360103607178,1.738992691040039,2806.316964285714,1,CA,NPS,KNP,HOTSPRINGS,00000000,1,NA,332,331.791839599609,2,wfu,00000077,134.271392469181,0,362,2004,8,12,2004,10,18,67,0.014038192160645047
0000b2d0f8bffe7a30af,3,84,3395700,4888800,0.37446573831517993,0.49038548343414284,227,0.5614667503336042,0.041484893678203336,5.908486902801559,2.9090754606586846,85.86579003987151,2.1047996427419435,4.679906514677629,1235.4895066273932,1,CA,USF,SQF,DEEP,00000000,9,NA,3222,3143.9013671875,2,suppression,00000052,1272.29177701494,0,592,2004,8,12,2004,8,17,5,0.007547755545416764
000075187b10505b7570,3,3,38700,44100,0.25925925925925924,0.30434782608695654,49,0.7296247032223916,0.054478319000680835,10.074972152709961,1.6452553272247314,72.10169982910156,3.1332969665527344,9.799542427062988,759.3265306122449,1,CA,CDF,NEU,ANANDA,00015093,14,NA,35,34.4713554382324,1,suppression,00000651,13.9500619418219,0,191,2004,8,28,2004,8,29,1,0.02362336751242292
000049c7eb07ff961430,3,3,251100,257400,0.5035211267605634,0.5416666666666666,141,0.7216509978671174,0.029506572919500457,5.300814628601074,2.225480318069458,85.29829406738281,2.7917606830596924,8.763768196105957,847.7272727272727,1,CA,CDF,AEU,POWERHOUSE,00015580,11,NA,113,113.425773620605,1,suppression,00000607,45.9017815889172,0,326,2004,9,5,2004,9,19,14,0.012390273864929306
