fod_id,alarm_date,cont_date,fire_size,prop_ypmc,elev,earlyFfm100,fm100,hdw,vs,vpd,RBR,preFire_ndvi,het_ndvi_1,focal_mean_ndvi_1,burn_duration
300309146,2009-04-07,NA,1,1,808,17.059368133544922,8.686455726623535,1.1596102714538574,3.7129783630371094,0.9382079243659973,-0.03806237929906388,0.6045646667480469,0.04875425109531391,0.6135768890380859,NA
300230489,2015-02-23,NA,0.1,1,767,8.7440185546875,10.706286430358887,3.25126314163208,3.567528247833252,0.6550473570823669,-0.0028301738911833685,0.6843687295913696,0.048095372924337215,0.6676288843154907,NA
300328206,2015-06-25,2015-06-25,0.2,1,767,5.852106094360352,5.484680652618408,7.6496710777282715,2.972301483154297,2.253019332885742,0.00730623513748632,0.7813916206359863,0.052058280601149406,0.7445386648178101,0
300336146,2015-02-23,2015-02-23,0.01,1,757,8.777467727661133,10.800740242004395,3.3103222846984863,3.6055068969726562,0.6553043127059937,0.051816653116984725,0.7150292992591858,0.02485895050449068,0.7037340998649597,0
300329136,2009-01-21,2009-01-21,1,1,757,16.722551345825195,7.291390419006348,0.4932186007499695,1.7758427858352661,0.9755977392196655,0.018048820305771828,0.7030848264694214,0.04559306289361885,0.7073603868484497,0
318881,2006-06-02,2006-06-02,0.1,1,815,10.335777282714844,10.032105445861816,3.0790302753448486,2.5137224197387695,1.2466952800750732,0.012228752909963647,0.7308176755905151,0.017607919248087998,0.7265362739562988,0
1361940,2001-07-04,NA,0.2,1,930,6.77728271484375,8.136948585510254,10.4320650100708,4.389575481414795,2.7612483501434326,-0.026977985955864616,0.5338315963745117,0.07181194329335702,0.5805371403694153,NA
201810485,2013-03-14,2013-03-14,5,1,946,9.445745468139648,10.253532409667969,1.707852840423584,1.6117714643478394,1.2295942306518555,0.011255690311468518,0.7198847532272339,0.02921149037845077,0.740138590335846,0
300133563,2014-07-09,2014-07-09,0.1,1,919,5.668392658233643,4.519716739654541,7.468225479125977,3.492948293685913,3.013847589492798,0.0068599888935261776,0.7742977738380432,0.039392407908518674,0.7570568323135376,0
1357089,2008-09-05,NA,9,1,900,4.119418144226074,4.638896465301514,10.709855079650879,3.051243782043457,2.8527731895446777,0.016214395485747313,0.5840113162994385,0.02443168696680637,0.6123185157775879,NA
201655637,2012-08-21,NA,4,0.898550724637681,886,4.799779891967773,5.313419342041016,9.408428192138672,3.263789653778076,2.8587734699249268,8.660753619061143e-4,0.6257438659667969,0.04943592104534144,0.5585454106330872,NA
315381,2000-06-04,2000-06-04,0.1,1,850,9.026922225952148,8.093343734741211,3.6680145263671875,3.000950813293457,1.6298366785049438,-0.004836014457756516,0.7638734579086304,0.026400696079758798,0.7570585608482361,0
201655584,2012-07-26,NA,1,0.777777777777778,871,6.40476131439209,7.237845420837402,6.9722723960876465,3.1203083992004395,2.064708709716797,0.010412751486850792,0.1835363358259201,0.05371259222529855,0.24971380829811096,NA
218067,1999-05-16,1999-05-16,4,0.648648648648649,891,10.72868537902832,11.811775207519531,2.3896331787109375,2.8263580799102783,0.7211278676986694,-0.02610929332575727,0.2964636981487274,0.0612916258467452,0.3101952373981476,0
218386,1999-07-25,1999-07-25,0.5,1,891,10.048013687133789,9.756003379821777,5.571508407592773,3.464008092880249,1.4945579767227173,0.03141969353936466,0.3687360882759094,0.07506538085362058,0.3885658383369446,0
201812829,2013-08-18,2013-08-18,0.1,1,922,5.9043073654174805,6.093637943267822,13.822202682495117,5.217048645019531,2.8210456371307373,-0.03391553488855662,0.6061420440673828,0.12637109507029134,0.6107038855552673,0
300328308,2009-05-11,2009-05-11,1,0.111111111111111,902,8.968159675598145,12.357717514038086,4.105708599090576,3.5724966526031494,1.3554942607879639,-7.763842276732797e-4,0.36601579189300537,0.058281958431669084,0.47749507427215576,0
318120,2004-12-26,2004-12-26,0.1,1,882,18.656272888183594,8.573810577392578,1.1276004314422607,4.407192230224609,0.6988407969474792,0.00975692897105646,0.6469465494155884,0.040075272251046186,0.7163209915161133,0
201655387,2012-01-07,NA,2.5,1,852,9.19459056854248,10.668830871582031,4.167665004730225,4.076780319213867,1.0703195333480835,-0.02284024592794064,0.587391197681427,0.07257043996218285,0.6113870739936829,NA
317898,2004-07-19,2004-07-19,0.1,1,862,7.464593887329102,5.662489414215088,5.6402459144592285,2.5101170539855957,2.396064281463623,0.004310021075910773,0.7384341359138489,0.021387450113620934,0.712819516658783,0
315511,2000-07-09,2000-07-09,0.4,1,875,9.701602935791016,11.508221626281738,5.042898654937744,2.6996090412139893,1.1195714473724365,-0.005076254254163536,0.7024279832839966,0.021108931899348204,0.7292437553405762,0
1359139,1996-08-11,NA,0.3,1,873,6.416784763336182,6.8326735496521,5.210906028747559,1.5542830228805542,3.1302456855773926,-0.02287314418067155,0.7415680885314941,0.01654633880858585,0.7510256767272949,NA
319304,2006-09-07,2006-09-07,12,1,843,7.22322940826416,6.587255001068115,7.27069091796875,4.400020122528076,2.705503225326538,0.013898744416955504,0.7109503149986267,0.056539750110350666,0.6951600313186646,0
1360986,2006-10-06,NA,0.5,1,848,16.60267448425293,13.74305534362793,4.866054534912109,3.6679491996765137,0.4181388020515442,0.024718738010296025,0.7261486649513245,0.08840704599467325,0.6958242058753967,NA
218676,1999-10-19,1999-10-19,0.1,1,783,5.071366786956787,4.849096775054932,2.808098554611206,1.3015129566192627,2.11635684967041,0.022141378511028327,0.5838872194290161,0.08839020693853634,0.6316657662391663,0
315461,2000-06-30,2000-06-30,0.1,1,783,8.292240142822266,7.722566604614258,5.1022233963012695,3.529059410095215,2.4777121543884277,-0.04374494421242092,0.5250995755195618,0.053972865836216986,0.6231834292411804,0
1360781,1997-07-22,NA,2,1,791,7.1944580078125,7.375755786895752,5.925945281982422,2.9406168460845947,2.4085004329681396,0.04503122038401941,0.7619386911392212,0.017361834144336095,0.7745457887649536,NA
300237328,2015-02-06,2015-02-06,1,1,777,22.337406158447266,14.556440353393555,0.6884701251983643,6.527401924133301,0.5425587296485901,-0.051363442388226356,0.5824176073074341,0.04817880582472812,0.6354473829269409,0
300309407,2009-08-12,2009-08-12,1.31,1,778,6.948816299438477,8.776543617248535,6.184380054473877,2.9897961616516113,2.8223657608032227,-0.028484766421386632,0.491062730550766,0.035526640740491035,0.5338778495788574,0
318206,2005-06-02,2005-06-02,0.3,0.4,722,9.080674171447754,11.49782657623291,4.375749588012695,3.1371188163757324,1.1204620599746704,0.026229007916594754,0.628543496131897,0.04005323130557978,0.635432243347168,0
319582,2007-05-16,2007-05-16,1,1,771,8.544963836669922,8.740378379821777,4.180227279663086,3.424361228942871,1.7013213634490967,0.02525895007104745,0.5692307949066162,0.05143566871799185,0.6286830306053162,0
